secID,code,exchangeCD,ListSectorCD,ListSector,transCurrCD,secShortName,secFullName,listStatusCD,listDate,delistDate,equTypeCD,equType,exCountryCD,partyID,totalShares,nonrestFloatShares,nonrestfloatA,officeAddr,primeOperating,endDate,TShEquity,stop,industry,area,timeToMarket,holders
600088.XSHG,600088,XSHG,1.0,主板,CNY,中视传媒,中视传媒股份有限公司,L,1997/6/16,,A,沪深A股,CHN,671.0,331422000.0,331422000.0,331422000.0,上海市浦东新区福山路450号新天国际大厦17层A座,"影视拍摄、电视剧节目制作、销售经营,影视设备租赁,高清晰度影视技术、代理各类广告业务,影视拍摄基地开发、经营等。",2017/9/30,1101873650.0,False,影视音像,上海,19970616,22060
600089.XSHG,600089,XSHG,1.0,主板,CNY,特变电工,特变电工股份有限公司,L,1997/6/18,,A,沪深A股,CHN,672.0,3718647800.0,3714312800.0,3714312800.0,新疆维吾尔自治区昌吉市北京南路189号,"公司属于输变电设备制造行业,主营产品包括变压器、电线电缆以及输变电成套工程业务",2017/9/30,33615629617.0,False,电气设备,新疆,19970618,273190
600090.XSHG,600090,XSHG,1.0,主板,CNY,同济堂,新疆同济堂健康产业股份有限公司,L,1997/6/16,,A,沪深A股,CHN,673.0,1439663000.0,702697000.0,702697000.0,新疆维吾尔自治区乌鲁木齐市经济技术开发区上海路130号,医药流通行业,2017/9/30,5907313701.0,False,医药商业,新疆,19970616,44684
600091.XSHG,600091,XSHG,1.0,主板,CNY,ST明科,包头明天科技股份有限公司,L,1997/7/4,,A,沪深A股,CHN,674.0,437412500.0,336526000.0,336526000.0,内蒙古自治区包头市稀土高新技术产业开发区曙光路22号,"烧碱、聚氯乙烯树脂、硫酸、盐酸、苯酚、氢氟酸、无水氟化氢、氟化盐产品、液氯、电石、溶解乙炔、高压聚乙烯,高科技生物产品的开发与生产,电子产品的生产和销售,计算机的生产、研制开发,计算机软硬件及外围设备的生产销售,计算机设备的销售、仓储、租赁及其它经营业务,信息产业、网络工程及远程教育服务,环保设备生产及销售。",2017/9/30,902627685.3,False,化工原料,内蒙,19970704,19073
600093.XSHG,600093,XSHG,1.0,主板,CNY,易见股份,易见供应链管理股份有限公司,L,1997/6/26,,A,沪深A股,CHN,676.0,1122447500.0,322447500.0,322447500.0,四川省成都市高新南区天府大道北段1700号6-1-1704,汽车零部件生产制造。,2017/9/30,7091916571.0,False,仓储物流,四川,19970626,30574
600094.XSHG,600094,XSHG,1.0,主板,CNY,大名城,上海大名城企业股份有限公司,L,1997/7/3,,A,沪深A股,CHN,677.0,2475325100.0,2475325100.0,2276605000.0,上海市闵行区红松东路1116号上海虹桥元一大厦5楼,房地产开发与经营。,2017/9/30,11850949297.0,False,区域地产,上海,19970703,63900
600095.XSHG,600095,XSHG,1.0,主板,CNY,哈高科,哈尔滨高科技(集团)股份有限公司,L,1997/7/8,,A,沪深A股,CHN,678.0,361263600.0,361263600.0,361263600.0,黑龙江省哈尔滨市开发区迎宾路集中区天平路2号,从事高新技术产品的开发、生产、销售;提供技术咨询、技术服务;开发区内土地开发、基础设施配套建设、物业管理;通过代理开展国外贸易;国内贸易;从事政策允许的劳务性服务。,2017/9/30,746562828.3,False,区域地产,黑龙江,19970708,45600
600096.XSHG,600096,XSHG,1.0,主板,CNY,云天化,云南云天化股份有限公司,L,1997/7/9,,A,沪深A股,CHN,679.0,1321379200.0,1122130100.0,1122130100.0,云南省昆明市西山区滇池路1417号,化肥、化工原料及产品的生产、销售。,2017/9/30,4914280868.0,False,农药化肥,云南,19970709,47800
600097.XSHG,600097,XSHG,1.0,主板,CNY,开创国际,上海开创国际海洋资源股份有限公司,L,1997/6/19,,A,沪深A股,CHN,680.0,240936600.0,202597900.0,202597900.0,上海市杨浦区安浦路661号滨江国际广场3号楼3层,远洋捕捞。,2017/9/30,862373894.9,False,渔业,上海,19970619,18830
600098.XSHG,600098,XSHG,1.0,主板,CNY,广州发展,广州发展集团股份有限公司,L,1997/7/18,,A,沪深A股,CHN,681.0,2726196600.0,2726196600.0,2726196600.0,广东省广州市天河区临江大道3号31-32楼,从事能源、基础设施、物流等产业的投资、建设、生产管理和经营业务。,2017/9/30,19067746495.0,False,火力发电,广东,19970718,90780
