ListSector,ListSectorCD,TShEquity,area,code,delistDate,endDate,equType,equTypeCD,exCountryCD,exchangeCD,holders,if_index,industry,listDate,listStatusCD,nonrestFloatShares,nonrestfloatA,officeAddr,partyID,primeOperating,secFullName,secID,secShortName,stop,timeToMarket,totalShares,transCurrCD
中小板,3,1668954172,福建,2264,,2017/9/30,沪深A股,A,CHN,XSHE,34208,0,超市连锁,2008/7/31,L,575734200,575734200,福建省福州市五四路162号华城国际北楼7层,32857,批发零售百货、纺织品、仪器仪表、通讯设备、五金交电化工(不含危险化学品)、电子计算机及配件、建筑材料、工艺美术品;收购农副产品(不含粮食、种子);商务咨询服务。,新华都购物广场股份有限公司,002264.XSHE,新华都,FALSE,20080731,684563900,CNY
中小板,3,973286632.1,云南,2265,,2017/9/30,沪深A股,A,CHN,XSHE,37800,0,汽车配件,2008/8/6,L,291025700,291025700,云南省昆明市西山区海口镇山冲,32814,主要从事汽车发动机连杆、其他工业产品、机床零部件及其他机械产品的研发、设计、生产及销售。,云南西仪工业股份有限公司,002265.XSHE,西仪股份,FALSE,20080806,318566200,CNY
中小板,3,3758678831,浙江,2266,,2017/9/30,沪深A股,A,CHN,XSHE,140893,0,电气设备,2008/8/6,L,1609968700,1609968700,浙江省杭州市西湖区古墩路702号赞宇大厦11楼,33043,成套水轮发电机组的研制、生产及销售。公司当前产品涵盖贯流式水轮发电机组、轴流式水轮发电机组和混流式水轮发电机组三大机型。,浙富控股集团股份有限公司,002266.XSHE,浙富控股,FALSE,20080806,1978719800,CNY
中小板,3,5612051170,陕西,2267,,2017/9/30,沪深A股,A,CHN,XSHE,42900,0,供气供热,2008/8/13,L,1112075400,1112075400,陕西省西安市经济技术开发区A1区开元路2号,32992,天然气长输管道的建设与运营。,陕西省天然气股份有限公司,002267.XSHE,陕天然气,FALSE,20080813,1112075400,CNY
中小板,3,4113424814,四川,2268,,2017/9/30,沪深A股,A,CHN,XSHE,28706,0,软件服务,2008/8/11,L,690768100,690768100,四川省成都市高新技术产业开发区云华路333号,33009,"面向民用市场的信息安全产品和系统的研发、生产、销售,安全集成和安全服务,公司的客户主要为各级政府部门、金融机构、大型国有企业集团等。",成都卫士通信息产业股份有限公司,002268.XSHE,卫士通,FALSE,20080811,838336000,CNY
中小板,3,3017720868,上海,2269,,2017/9/30,沪深A股,A,CHN,XSHE,79029,0,服饰,2008/8/28,L,2512500000,2512500000,上海市浦东新区康桥东路800号,33038,美特斯邦威品牌系列休闲服的设计及销售。,上海美特斯邦威服饰股份有限公司,002269.XSHE,美邦服饰,FALSE,20080828,2512500000,CNY
中小板,3,2023427030,山东,2270,,2017/9/30,沪深A股,A,CHN,XSHE,30065,0,电气设备,2008/9/5,L,287622700,287622700,上海市普陀区同普路977号,33039,其他输配电及控制设备制造业,华明电力装备股份有限公司,002270.XSHE,华明装备,FALSE,20080905,506159400,CNY
中小板,3,6417043806,北京,2271,,2017/9/30,沪深A股,A,CHN,XSHE,18697,0,其他建材,2008/9/10,L,570367000,570367000,北京市朝阳区高碑店北路康家园小区4号楼,33010,从事建筑防水材料的研发、生产、销售和防水工程施工业务。,北京东方雨虹防水技术股份有限公司,002271.XSHE,东方雨虹,FALSE,20080910,881851500,CNY
中小板,3,1168678834,四川,2272,,2017/9/30,沪深A股,A,CHN,XSHE,30155,0,机械基件,2008/9/19,L,318293800,318293800,四川省成都市郫县现代工业港港北六路85号,33041,润滑液压设备及其集成系统和锅炉部件、压力容器的研发、生产和销售,四川川润股份有限公司,002272.XSHE,川润股份,FALSE,20080919,419700100,CNY
中小板,3,3152160141,浙江,2273,,2017/9/30,沪深A股,A,CHN,XSHE,49332,0,元器件,2008/9/19,L,615496200,615496200,浙江省台州市椒江区星星电子产业区A5号,33064,光学光电子元器件的研发、生产和销售,浙江水晶光电科技股份有限公司,002273.XSHE,水晶光电,FALSE,20080919,664098200,CNY
中小板,3,2638534010,江苏,2274,,2017/9/30,沪深A股,A,CHN,XSHE,31918,0,农药化肥,2008/9/25,L,490332800,490332800,江苏省张家港市金港镇保税区扬子江国际化学工业园南海路1号,32844,农用化肥和纯碱的生产和销售。,江苏华昌化工股份有限公司,002274.XSHE,华昌化工,FALSE,20080925,634909800,CNY
中小板,3,2537932858,广西,2275,,2017/9/30,沪深A股,A,CHN,XSHE,15876,0,中成药,2009/7/10,L,533356700,533356700,广西壮族自治区桂林市金星路一号,33044,"咽喉口腔用药系列、抗泌尿系感染用药系列及心脑血管用药系列中成药产品的研究、生产与销售,以及其他天然药物和生物制剂等的研究开发。",桂林三金药业股份有限公司,002275.XSHE,桂林三金,FALSE,20090710,590200000,CNY
中小板,3,3936721530,浙江,2276,,2017/9/30,沪深A股,A,CHN,XSHE,111000,0,电气设备,2009/7/10,L,937035300,937035300,浙江省临安市经济开发区南环路88号,33081,从事电力电缆的研发、生产和销售。,浙江万马股份有限公司,002276.XSHE,万马股份,FALSE,20090710,1035489100,CNY
中小板,3,5919474862,湖南,2277,,2017/9/30,沪深A股,A,CHN,XSHE,55486,0,百货,2009/7/17,L,1416605200,1416605200,湖南省长沙市芙蓉区八一路1号,33107,商品零售业及相关配套服务等。,湖南友谊阿波罗商业股份有限公司,002277.XSHE,友阿股份,FALSE,20090717,1416605200,CNY
中小板,3,1121454683,上海,2278,,2017/9/30,沪深A股,A,CHN,XSHE,20798,0,化工机械,2009/8/11,L,342017700,342017700,上海市闵行区浦星公路1769号,33129,"研发、制造、销售石油勘探设备、钻井井控设备、采油和井口设备、石油产品规格分析仪器等,同时为顾客提供与公司产品有关的工程技术服务。",上海神开石油化工装备股份有限公司,002278.XSHE,神开股份,FALSE,20090811,363909700,CNY
中小板,3,2612574033,北京,2279,,2017/9/30,沪深A股,A,CHN,XSHE,41079,0,软件服务,2009/8/11,L,274012900,274012900,北京市经济技术开发区西环中路6号,2118,"报表管理软件、电子政务软件、集团管控软件、商业智能软件等管理软件的研究和开发,为政府部门、企事业单位提供财务决算、统计及决策分析、财务业务一体化管理、全面预算管理、合并报表、关联交易核对、资产管理等相关方面的解决方案。",北京久其软件股份有限公司,002279.XSHE,久其软件,FALSE,20090811,710727400,CNY
中小板,3,7141300523,浙江,2280,,2017/9/30,沪深A股,A,CHN,XSHE,157044,0,软件服务,2009/8/21,L,1849951400,1849951400,浙江省杭州市滨江区物联网街451号芯图大厦18层,33141,"应用软件开发与销售、系统集成及技术支持与服务,主要面向电力、烟草等重点行业客户。",杭州联络互动信息科技股份有限公司,002280.XSHE,联络互动,FALSE,20090821,2177149700,CNY
中小板,3,3141527332,湖北,2281,,2017/9/30,沪深A股,A,CHN,XSHE,34815,0,通信设备,2009/8/21,L,616638700,616638700,湖北省武汉市江夏区藏龙岛开发区潭湖路1号,31315,光通信领域内光电子器件的研究、开发、制造和技术服务。,武汉光迅科技股份有限公司,002281.XSHE,光迅科技,FALSE,20090821,628900700,CNY
中小板,3,839621330.9,河北,2282,,2017/9/30,沪深A股,A,CHN,XSHE,31681,0,轻工机械,2009/8/21,L,184072400,184072400,河北省石家庄市高新区长江大道289号,33088,金刚石工具、钻切磨类小型建筑施工机具及硬质合金工具的开发、生产和销售。,博深工具股份有限公司,002282.XSHE,博深工具,FALSE,20090821,413154600,CNY
中小板,3,3855745028,山东,2283,,2017/9/30,沪深A股,A,CHN,XSHE,54396,0,汽车配件,2009/8/21,L,1123932000,1123932000,山东省威海市文登区天润路2-13号,33090,内燃机曲轴的专业化生产经营。,天润曲轴股份有限公司,002283.XSHE,天润曲轴,FALSE,20090821,1124862000,CNY
中小板,3,2712616518,浙江,2284,,2017/9/30,沪深A股,A,CHN,XSHE,90163,0,汽车配件,2009/8/28,L,685971600,685971600,浙江省杭州市萧山区蜀山街道亚太路1399号,33089,"开发、生产、销售汽车制动系统,包括100多个系列500多个品种的盘式制动器,鼓式制动器,真空助力器,ABS,制动主缸、轮缸,离合器主缸、工作缸等产品,已具备制动系统100万辆(份),ABS5万套的年生产能力,可为各类轿车、轻微型汽车、中重型载货车、大中型客车等车型提供系统和模块配套。",浙江亚太机电股份有限公司,002284.XSHE,亚太股份,FALSE,20090828,737556000,CNY
